Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
1,"300 MW Attapeu & Borikhamxay",Solar,Planned,250,2019,,,,,," ",Laos,"Vientiane prefecture",Chanthabuly,,
3,"A Loan",Hydro,Operational,170,2012,Vietnam,"Central Region Hydropower JSC",,,Vietnam,VINAINCON,Vietnam,"Thua Thien Hue","A Luoi",,
4,"A Vuong",Hydro,Operational,210,2008,Vietnam,"A Vuong Hydro Power JSC",,,"Japan; Vietnam",Sumitomo," Licogi",Vietnam,"Quang Nam",,
5,"AT. Biopower Rice Husk Power Project",Biomass,Operational,22.5,2004,Thailand,"AT. Biopower",,,," ",Thailand,Phichit,"Bang Mun Nak",,
6,"Active Synergy Landfill Gas Power Generation Project",Waste,Unknown,1.04,,Thailand,"Active Synergy Co"," Ltd.",,,"United Kingdom","EDF Trading Ltd EDFT",Thailand,"Nakhon Pathom",,
7,"Advanced Wastewater Management at Rajburi Ethanol Plant",Waste,Unknown,,,Thailand,"Rajburi Ethanol Co",,,Sweden,"Carbon Asset Management Sweden AB",Thailand,Ratchaburi,"Ban Pong",,
8,"Agricultural cooperative solar project",Solar,"Under Construction",5,2018,China,"ReneSola Ltd China",,,China,"ReneSola Ltd China",Thailand,Rayong,"Muang Rayong",,
9,Ahlone,Gas,Operational,153,1995,Myanmar,"MEPE Myanmar",,,," ",Myanmar,Yangon,Yangon-E,,
10,Ahlone,Gas,Planned,388,,"Thailand; Japan; Myanmar","TTCL Myanmar Power Co"," Ltd Thailand"," Japan"," Myanmar",,,Thailand,"Toyo-Thai Italian-Thai Development Thailand",,
11,Ahlone,Gas,Operational,120,2013,"Thailand; Japan; Myanmar","Toyo Thai Power Myanmar Co"," Ltd Thailand"," Japan"," Myanmar",,,," ",,
12,"AJ Technology Company Limited AJ",Solar,Operational,3.7,2013,Thailand,"AJ Technology Co Ltd. Solar Power Asset Co"," Ltd."," Dr. Art-ong Jumsai No Ayudhya"," Mr. Krit Jumsai Na Adhya"," Solar Power Co"," Ltd.",,,,
13,"Ajinomoto Waste Water Treatment and Biogas Utilization Project",Biomass,Operational,4,2008,Japan,"Ajinomoto Co"," Ltd.",,,," ",Thailand,"Kamphaeng Phet",,
14,"Akekamai-Ramintra Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited TSE",,,," ",Thailand,"Bangkok Metropolis","Khan Na Yao",,
15,Amata,Oil,Operational,13,,,,,,," ",Vietnam,"Đong Nai","Bien Hoa",,
16,"Amata B.Grimm",Gas,Operational,732,2016,Thailand,"B. Grimm Power",,,"Japan; Germany; Finland; France",Siemens," Sumitomo Corporation"," Toshiba Plant Systems"," Alstom Power",,
17,"Amata B.Grimm Power Rayong 1",Gas,Operational,123.3,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng",,
18,"Amata B.Grimm Power Rayong 2",Gas,Operational,124.4,2013,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng",,
19,"Amata B.Grimm Power Rayong 3",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng",,
20,"Amata B.Grimm Power Rayong 4",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng",,
21,"Amata B.Grimm Power Rayong 5",Gas,Operational,133,2018,Thailand,B.Grimm,,,,,Thailand,Rayong,"Pluak Daeng",,
22,"An Khanh - Bac Giang Nha may Nhiet dien An Khanh - Bac Giang",Coal,Planned,650,2023,Vietnam,"An Khanh - Bac Giang Thermal Power JSC",China,"China Development Bank CDB; Industrial and Commercial Bank of China ICBC",," ",Vietnam,"Bac Giang","Luc Nam",,
23,"An Khanh I Nha may nhiet dien An Khanh I",Coal,Operational,120,2015,Vietnam,"An Khanh Electricity JSC","China; Vietnam","China Communications Bank; Bank of China"," China Construction Bank"," China Exim Bank"," Bank for Investment and Development of Vietnam",China,"China People Electricity and Gas Group",,
24,"An Khanh II Nha may nhiet dien An Khanh II",Coal,Cancelled,300,2023,Vietnam,"An Khanh Electricity JSC",,,," ",Vietnam,"Thai Nguyen","Đai Tu",,
25,"An Khe - Kanak Thuy dien An Khe - Kanak",Hydro,Operational,173,2011,Vietnam,"An Khe - Ka Nak Hydro Power Co",,,," ",Vietnam,"Gia Lai",KBang,,
26,"An Khe Biomass Power #1 Expansion Nha may dien sinh khoi An Khe",Biomass,Operational,95,2017,Vietnam,"Quang Ngai Sugar Cane JSC",Vietnam,"Quang Ngai Sugar Cane JSC",," ",Vietnam,"Gia Lai","An Khe",,
27,"Ang Thong Solar Power Plant",Solar,Operational,1.2,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,"Ang Thong",,
28,"Angkor Biomass",Biomass,Operational,2,2011,Cambodia,"Angkor Bio Cogen Co"," Ltd.","Japan; Sweden","Mitsubishi UFJ Morgan Stanley Securities Co Ltd Japan;  ADB as Trustee of the Future Carbon Fund; Swedish Energy Agency Sweden",," ",Cambodia,Kandal,,
29,"Angvian Industry Co"," Ltd",Biomass,Unknown,30,,Thailand,"Wangkanai Group",,,," ",Thailand,"Nakhon Ratchasima",,
30,"Anita Asia Rooftop Solar",Solar,Operational,0.0926,2017,"Austria; Myanmar","Anita Asia",,,Laos,"Sunlabob Renewable Energy Co Laos",Myanmar,Yangon,Yangon-N,,
31,Ann,Wind,Planned,120,,China,"China Three Gorges China",,,," ",Myanmar,Rakhine,Kyaunkpyu,,
32,Ann,Wind,Planned,240,,China,"China Three Gorges China",,,," ",Myanmar,Rakhine,Kyaunkpyu,,
33,Annchaung,Hydro,Cancelled,10,,Myanmar,MOEP,,,," ",Myanmar,Rakhine,Kyaunkpyu,,
34,"ANZ bank project",Solar,Operational,0.09,2016,Laos,"Sunlabob Renewable Energy Laos",,,," ",Laos,"Vientiane prefecture",Sisattanak,,
35,"Auto Alliance Rooftop Solar",Solar,"Under Construction",5,2021,Thailand,"Auto Alliance",,,Thailand,"WHA Utilitties and Power Plc",Thailand,Rayong,"Pluak Daeng",,
36,"Ayun Ha",Hydro,Operational,3,,Vietnam,"Gia Lai Electricity JSC.",,,," ",Vietnam,"Gia Lai","Phu Thien",,
37,"Ayuthaya Mill",Coal,Operational,36,2017,Thailand,"Hiang Seng Fibre Container Co Thailand",,,," ",Thailand,"Phra Nakhon Si Ayutthaya","Bang Sai",,
38,"B&T Wind Farm Trang trai dien gio B&T",Wind,Planned,352,,Philippines,"The Ayala Group",,,," ",Vietnam,"Quang Binh","Bo Trach",,
39,"B.Grimm BIP",Gas,Operational,230,2016,Thailand,B.Grimm,,,," ",Thailand,"Pathum Thani","Muang Pathum Thani",,
40,"B.Grimm Power Laem Chabang 1&2",Gas,Operational,159,2009,Thailand,B.Grimm,,,," ",Thailand,"Chon Buri","Si Racha",,
41,"B.Grimm Power WHA 1 Limited Bowin Clean Energy",Gas,Operational,132,2017,Thailand,"Bowin Clean Energy"," Ltd."," Hemaraj Energy"," Ltd."," B.Grimm Power",,,"Finland; Japan",,
42,"Ba Ria",Gas,Operational,389,,Vietnam,"Vietnam Electricity EVN",,,," ",Vietnam,"Ba Ria - Vung Tau","Ba Ria",,
43,"Ba Thuoc 2",Hydro,Operational,80,2013,Vietnam,"Hoang Anh Lai",,,," ",Vietnam,"Thanh Hoa","Ba Thuoc",,
44,"Baan-Kluai Solar Power Plant Phase 1 at Gunkul",Solar,Unknown,8.61,,"Thailand; United Kingdom","Gunkul Powergen Co Ltd."," Agrinergy Pte Ltd.",,,," ",Thailand,Phetchabun,,
45,"Baanrai Biomass Power Plant",Biomass,Operational,9.9,2013,Thailand,"Baanrai Electricity Generating Co"," Ltd. subsidiary of Thai Roong Ruang Sugar Group",,,," ",Thailand,"Uthai Thani",,
46,"Bac Ai PumpedStorage Hydropower Project",Hydro,"Under Construction",1200,2029,Vietnam,EVN,,,Vietnam,"Power Engineering Consulting JSC 4"," Construction JSC 47",Vietnam,"Ninh Thuan",,
47,"Bac Binh",Hydro,Operational,33,2009,Vietnam,"Power Development JSC",,,," ",Vietnam,"Binh Thuan","Bac Binh",,
48,"Bac Ha",Hydro,Operational,90,,Vietnam,LICOGI,,,," ",Vietnam,"Lao Cai","Bac Ha",,
49,"Bac Lieu Cai Cung Nha may Nhiet dien Bac Lieu - Cai Cung",Coal,Cancelled,1200,2019,"Vietnam; Japan","Nhiet dien Cai Cung -- a JV betwen 1Tap doan Đien luc Viet Nam - EVN"," 2Tap doan Sojitz Kyushu",,,," ",Vietnam,"Bac Lieu",,
